RID,Name,type,Category,total_price,provided_calories,provided_protein,provided_fat,provided_carbs
1,Chicken Rice Bowl,Lunch,Gluten-Free,97.73,987.29,241.2,71.33,649.99
2,Gluten-Free Omelette,Breakfast,Gluten-Free,487.59,403.59,166.04,209.52,15.31
3,Tuna Salad Bowl,Lunch,Gluten-Free,213.99,296.81,126.53,112.32,70.29
4,Grilled Salmon Plate,Dinner,Gluten-Free,229.3,337.34,122.8,190.84,16.41
5,Rice Porridge,Breakfast,Gluten-Free,127.5,1538.4,196.52,47.7,1269.36
6,Beef Stir Fry,Dinner,Gluten-Free,332.89,267.02,72.7,75.65,124.28
7,Banana Protein Smoothie,Breakfast,Gluten-Free,286.9,427.7,149.92,112.95,182.88
8,Vegetable Soup,Dinner,Gluten-Free,87.89,1614.64,221.08,56.79,1315.37
9,Egg Fried Rice (GF),Lunch,Gluten-Free,369.59,1152.0,206.92,162.9,762.52
10,Chicken Soup,Dinner,Gluten-Free,124.64,1707.44,358.96,93.96,1219.09
11,322 Bowl,Breakfast,Gluten-Free,145.7,357.2,49.48,151.92,179.84
12,Shrimp Rice Bowl,Lunch,Gluten-Free,409.49,815.45,193.84,25.52,586.34
13,Potato Omelette,Breakfast,Gluten-Free,491.23,479.74,165.92,213.48,87.37
14,Chicken Wrap (GF),Lunch,Gluten-Free,136.71,547.8,170.2,216.09,148.24
15,Beef Rice Bowl,Dinner,Gluten-Free,318.09,954.27,118.24,85.95,742.14
16,Fruit Salad,Breakfast,Gluten-Free,106.35,419.8,6.52,4.5,415.84
17,Chicken Veg Stir Fry,Dinner,Gluten-Free,90.59,310.8,197.44,62.46,46.68
18,Rice & Egg Bowl,Lunch,Gluten-Free,348.04,898.84,152.24,146.34,576.85
19,Protein Smooth Bowl,Breakfast,Gluten-Free,296.0,486.6,149.44,105.84,245.28
20,Vegetable Rice Bowl,Dinner,Gluten-Free,54.09,926.6,105.08,28.98,785.56
21,Turkey Egg Breakfast Bowl,Breakfast,High-Protein,92.82,453.52,206.68,229.73,12.08
22,Chicken Hummus Plate,Lunch,High-Protein,111.68,650.3,253.84,182.52,213.12
23,Cottage Cheese Berry Bowl,Breakfast,High-Protein,286.61,697.9,103.16,481.95,123.48
24,Shrimp Avocado Salad,Lunch,High-Protein,485.27,378.3,154.76,203.58,41.84
